,horizon,mse,rmse,mae,mape,mdape,smape,coverage
1442,69 days 02:00:00,19855632.595359385,4455.965955363594,1230.396911622979,0.3685829539985003,0.1352007465184254,0.248739125404711,0.643649904496033
1443,69 days 03:00:00,19889206.438369237,4459.731655421572,1231.2533589498933,0.36903938750528104,0.1351078127896942,0.24878872162657845,0.6438406063277501
1444,69 days 04:00:00,19922704.874747727,4463.485731437676,1232.141783258363,0.3695023786101478,0.1349990219964745,0.24883649579192213,0.643928151630914
1445,69 days 05:00:00,19956234.731372323,4467.240169430374,1233.0489119883925,0.36997058596737953,0.13498818109694533,0.24888680420885148,0.6441565040650407
1446,69 days 06:00:00,19989914.924357533,4471.0082670866905,1233.9949265130163,0.370440393144736,0.13508561905269392,0.24895204964641712,0.6442063987657949
1447,69 days 07:00:00,20024024.70503706,4474.821192521223,1234.9699511801114,0.37089629570819904,0.13526970124330184,0.2490265689573117,0.6442161940444706
1448,69 days 08:00:00,20058571.6229031,4478.679674067247,1235.937900470954,0.3713241638838717,0.1353501505411332,0.24909832971174165,0.644176094622392
1449,69 days 09:00:00,20093255.508789666,4482.550112245223,1236.897438440797,0.37175204263752737,0.13540435051859506,0.24917297052007098,0.6441213022823
1450,69 days 10:00:00,20128194.670309637,4486.445661134172,1237.7058061368427,0.3721608847845113,0.13540435051859506,0.24921294000595412,0.6442244588108532
1451,69 days 11:00:00,20163665.211825717,4490.396999356039,1238.4260200364943,0.37256219819584224,0.13526970124330184,0.24923088915829283,0.6446894284454892
1452,69 days 12:00:00,20199320.558868077,4494.365423379376,1239.1622983609193,0.37295120454268876,0.13515780067818783,0.24926343392738143,0.6448547237731413
1453,69 days 13:00:00,20235217.017135803,4498.357146463118,1239.9312999999688,0.3733426022864776,0.13517775882710592,0.24931191280515566,0.6449946125967284
1454,69 days 14:00:00,20271468.195993163,4502.3847232320295,1240.7031692132075,0.37372550646716246,0.1352154057858153,0.2493631061406568,0.645061649035165
